split,model,n_train,n_test,train_positive_rate,test_positive_rate,train_source_mix,test_source_mix,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,predicted_positive_rate,fit_seconds
temporal_canada,random_forest_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.7137452800333387,0.9217889252272529,0.36610169491525424,0.2288135593220339,0.9152542372881356,0.89086262854869,0.1659634317862166,2.797
temporal_canada,logreg_l2_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.7070201275223668,0.9237474663317458,0.09515570934256055,0.05013673655423884,0.9322033898305084,0.5838566472263327,0.7714486638537271,4.995
temporal_canada,naive_bayes_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5841227268116664,0.8724274718032257,0.5773195876288659,0.7368421052631579,0.4745762711864407,0.7336197570165512,0.026722925457102673,0.89
temporal_canada,logreg_l2_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5744143015204418,0.9224231194896602,0.09274873524451939,0.048802129547471165,0.9322033898305084,0.5728515114963254,0.7925457102672293,0.932
temporal_canada,logreg_l1_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5727837970007893,0.922286332491886,0.09274873524451939,0.048802129547471165,0.9322033898305084,0.5728515114963254,0.7925457102672293,0.927
temporal_canada,linear_svm_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.49360574505158705,0.9025206113135282,0.1343101343101343,0.07236842105263158,0.9322033898305084,0.7074810052600818,0.5344585091420534,1.062
temporal_canada,dummy_stratified,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.041079271853917854,0.49450364972580424,0.06349206349206349,0.0390625,0.1694915254237288,0.49450364972580424,0.180028129395218,0.938
temporal_us,naive_bayes_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.09509533892984649,0.8139134928759711,0.21024258760107817,0.20418848167539266,0.21666666666666667,0.6049505942048338,0.008433788139709453,28.998
temporal_us,logreg_l2_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.08416467189580845,0.8358128959510986,0.0,0.0,0.0,0.5,0.0,740.493
temporal_us,linear_svm_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.05766616004500211,0.8087341681379604,0.0724810832337714,0.03903903903903904,0.5055555555555555,0.702926885357784,0.10292754007153265,49.107
temporal_us,logreg_l2_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.020616824605984276,0.6817940386641148,0.03036876355748373,0.01580135440180587,0.3888888888888889,0.5974132431269565,0.19561089769064335,19.907
temporal_us,logreg_l1_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.02061003778187634,0.6817173830259688,0.030174245643858903,0.015687140963323024,0.39444444444444443,0.5980768089494221,0.19984986973992142,253.986
temporal_us,random_forest_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.01981590392474703,0.654930441190289,0.035955056179775284,0.03018867924528302,0.044444444444444446,0.5165027225115354,0.011701329094361284,66.206
temporal_us,dummy_stratified,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.00793160891716992,0.4988486817703001,0.010884353741496598,0.007207207207207207,0.022222222222222223,0.4988486817703002,0.024506557159888726,16.163
transfer_canada_to_us,logreg_l2_meta_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.049372198250118335,0.5524724531615647,0.03905598909008258,0.019979652148636208,0.8638458315877671,0.4756826141086322,0.911455343501338,49.128
transfer_canada_to_us,logreg_l1_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.048186811506980544,0.5421598737021109,0.04124817246719092,0.021058954472377787,0.9987431922915794,0.49947083471531084,0.9997792124064965,20.268
transfer_canada_to_us,logreg_l2_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.04810995957866514,0.545492251726733,0.041708937251338694,0.021303054879697216,0.9903644742354419,0.5052775061444612,0.9800319700435394,19.634
transfer_canada_to_us,naive_bayes_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.026519966531345664,0.5701592988992543,0.0429202608878603,0.025774932614555258,0.1281943862589024,0.5119247706257523,0.10484761240296385,45.089
transfer_canada_to_us,random_forest_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.022879386374039894,0.5291795277690887,0.042195269296900415,0.022336473887481244,0.38039379974863846,0.5109224240344,0.3590094585405057,53.336
transfer_canada_to_us,dummy_stratified,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.02095688473260795,0.4968688298097197,0.03541569299475515,0.02021339656194428,0.14285714285714285,0.4968688298097197,0.14898746809619273,13.197
transfer_canada_to_us,linear_svm_meta_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.01766847135493851,0.41568168313995935,0.03256383963184353,0.017315671879987234,0.2727272727272727,0.4697105022291771,0.3320292146143724,48.904
transfer_us_to_canada,logreg_l2_meta_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.2073505968438936,0.6046251473205719,0.0,0.0,0.0,0.5,0.0,992.703
transfer_us_to_canada,random_forest_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.1886603717209296,0.5546759180489745,0.0,0.0,0.0,0.5,0.0,82.499
transfer_us_to_canada,naive_bayes_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.1877375505679561,0.5872807477553278,0.0,0.0,0.0,0.5,0.0,35.97
transfer_us_to_canada,logreg_l1_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.17256773907963255,0.4696720451785677,0.0,0.0,0.0,0.5,0.0,1069.099
transfer_us_to_canada,logreg_l2_meta,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.17037749881909794,0.45248442500110714,0.0,0.0,0.0,0.5,0.0,20.801
transfer_us_to_canada,linear_svm_meta_text,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.1585818004204051,0.5301721854098833,0.0,0.0,0.0,0.49950355783551215,0.0008441193021947102,52.913
transfer_us_to_canada,dummy_stratified,113231,7108,0.02108079942771856,0.14983117613956107,"{""us"": 113231}","{""canada"": 7108}",0.14936405444538114,0.4977214159245284,0.028192371475953566,0.12056737588652482,0.01596244131455399,0.4977214159245284,0.01983680360157569,17.424
