bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
440825,1057493,text,1841493,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/1057493,https://www.congress.gov/113/bills/hr1/BILLS-113hr1ih.pdf
440824,1045355,text,574670,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1045355,https://www.congress.gov/113/bills/hr2/BILLS-113hr2ih.pdf
440824,1051727,text,533873,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1051727,https://www.congress.gov/113/bills/hr2/BILLS-113hr2pcs.pdf
440824,1045964,text,367223,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/1045964,https://www.congress.gov/113/bills/hr2/BILLS-113hr2eh.pdf
440823,801372,text,261512,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/801372,https://www.congress.gov/113/bills/hr3/BILLS-113hr3ih.pdf
440823,848743,text,247438,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/848743,https://www.congress.gov/113/bills/hr3/BILLS-113hr3rh.pdf
440823,860564,text,227434,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/860564,https://www.congress.gov/113/bills/hr3/BILLS-113hr3pcs.pdf
440823,853645,text,129452,application/pdf,Engrossed,https://legiscan.com/US/text/HB3/id/853645,https://www.congress.gov/113/bills/hr3/BILLS-113hr3eh.pdf
440822,1045352,text,755372,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/1045352,https://www.congress.gov/113/bills/hr4/BILLS-113hr4ih.pdf
440822,1051531,text,713212,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/1051531,https://www.congress.gov/113/bills/hr4/BILLS-113hr4pcs.pdf
440822,1046069,text,498407,application/pdf,Engrossed,https://legiscan.com/US/text/HB4/id/1046069,https://www.congress.gov/113/bills/hr4/BILLS-113hr4eh.pdf
440821,863567,text,1038018,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/863567,https://www.congress.gov/113/bills/hr5/BILLS-113hr5ih.pdf
440821,872721,text,1043391,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/872721,https://www.congress.gov/113/bills/hr5/BILLS-113hr5rh.pdf
440821,877860,text,781227,application/pdf,Engrossed,https://legiscan.com/US/text/HB5/id/877860,https://www.congress.gov/113/bills/hr5/BILLS-113hr5eh.pdf
440820,983689,text,248368,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/983689,https://www.congress.gov/113/bills/hr6/BILLS-113hr6ih.pdf
440820,1036450,text,258843,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/1036450,https://www.congress.gov/113/bills/hr6/BILLS-113hr6rh.pdf
440820,1037662,text,117119,application/pdf,Engrossed,https://legiscan.com/US/text/HB6/id/1037662,https://www.congress.gov/113/bills/hr6/BILLS-113hr6eh.pdf
440819,846608,text,268316,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/846608,https://www.congress.gov/113/bills/hr7/BILLS-113hr7ih.pdf
440819,940698,text,133389,application/pdf,Engrossed,https://legiscan.com/US/text/HB7/id/940698,https://www.congress.gov/113/bills/hr7/BILLS-113hr7eh.pdf
440816,1003577,text,318623,application/pdf,Introduced,https://legiscan.com/US/text/HB10/id/1003577,https://www.congress.gov/113/bills/hr10/BILLS-113hr10ih.pdf
440816,1017056,text,324881,application/pdf,Introduced,https://legiscan.com/US/text/HB10/id/1017056,https://www.congress.gov/113/bills/hr10/BILLS-113hr10rh.pdf
440816,1021500,text,174189,application/pdf,Engrossed,https://legiscan.com/US/text/HB10/id/1021500,https://www.congress.gov/113/bills/hr10/BILLS-113hr10eh.pdf
440815,708960,text,583037,application/pdf,Introduced,https://legiscan.com/US/text/HB11/id/708960,https://www.congress.gov/113/bills/hr11/BILLS-113hr11ih.pdf
440814,717225,text,582660,application/pdf,Introduced,https://legiscan.com/US/text/HB12/id/717225,https://www.congress.gov/113/bills/hr12/BILLS-113hr12ih.pdf
440811,894772,text,2047068,application/pdf,Introduced,https://legiscan.com/US/text/HB15/id/894772,https://www.congress.gov/113/bills/hr15/BILLS-113hr15ih.pdf
440805,951794,text,372969,application/pdf,Introduced,https://legiscan.com/US/text/HB20/id/951794,https://www.congress.gov/113/bills/hr20/BILLS-113hr20ih.pdf
440804,677036,text,304396,application/pdf,Introduced,https://legiscan.com/US/text/HB21/id/677036,https://www.congress.gov/113/bills/hr21/BILLS-113hr21ih.pdf
440803,676872,text,257667,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/676872,https://www.congress.gov/113/bills/hr22/BILLS-113hr22ih.pdf
440802,676871,text,251255,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/676871,https://www.congress.gov/113/bills/hr23/BILLS-113hr23ih.pdf
440800,676869,text,252976,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/676869,https://www.congress.gov/113/bills/hr24/BILLS-113hr24ih.pdf
440800,1045480,text,261898,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/1045480,https://www.congress.gov/113/bills/hr24/BILLS-113hr24rh.pdf
440800,1045846,text,116734,application/pdf,Engrossed,https://legiscan.com/US/text/HB24/id/1045846,https://www.congress.gov/113/bills/hr24/BILLS-113hr24eh.pdf
440799,679258,text,465473,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/679258,https://www.congress.gov/113/bills/hr25/BILLS-113hr25ih.pdf
440798,678116,text,261767,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/678116,https://www.congress.gov/113/bills/hr26/BILLS-113hr26ih.pdf
440797,676710,text,251395,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/676710,https://www.congress.gov/113/bills/hr27/BILLS-113hr27ih.pdf
440796,677787,text,256818,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/677787,https://www.congress.gov/113/bills/hr28/BILLS-113hr28ih.pdf
440795,677786,text,255446,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/677786,https://www.congress.gov/113/bills/hr29/BILLS-113hr29ih.pdf
440794,679195,text,272165,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/679195,https://www.congress.gov/113/bills/hr30/BILLS-113hr30ih.pdf
